Native Language,Reading,Listening,Speaking,Writing,Total,code
Afrikaans,20,21,22,21,85,afri1274
Akan,18,19,21,20,78,akan1250
Albanian,19,21,23,21,84,alba1267
Amharic,18,21,21,19,79,amha1245
Arabic,19,21,21,20,81,stan1318
Armenian,19,21,22,21,84,nucl1235
Assamese,23,24,24,23,94,assa1263
Azerbaijani,19,20,21,20,81,nort2697
Bambara,14,16,17,15,61,bamb1269
Belarusian,22,24,22,22,90,bela1254
Bemba,17,19,22,20,78,bemb1257
Bengali,22,23,23,23,92,beng1280
Berber,20,22,22,20,83,tach1250
Bosnian,22,24,24,23,92,sout1528
Bulgarian,23,24,23,23,94,bulg1262
Burmese,19,20,21,21,81,nucl1310
Catalan,24,25,23,22,94,stan1289
Cebuano,19,21,23,22,84,cebu1242
Chichewa (Nyanja),18,20,22,21,80,nyan1308
Chinese,23,22,21,21,87,mand1415
Croatian,24,26,24,23,97,sout1528
Czech,23,25,24,23,94,czec1258
Danish,24,26,26,23,99,dani1285
Dutch,24,26,25,23,98,dutc1256
English,23,24,24,23,94,stan1293
Estonian,24,25,23,23,95,esto1258
Ewe,14,15,18,16,63,ewee1241
Farsi,25,25,20,24,95,west2369
Finnish,24,25,23,23,95,finn1318
French,21,22,21,21,86,stan1290
Fulah,15,17,20,17,69,maas1239
Ganda,17,20,22,21,79,gand1255
Georgian,21,23,23,22,89,nucl1302
German,25,26,26,24,100,stan1295
Greek,24,25,23,24,95,mode1248
Gujarati,24,25,22,24,95,guja1252
Hausa,18,20,21,20,79,haus1257
Hebrew,23,26,24,22,94,hebr1245
Hiligaynon,21,23,23,21,88,hili1240
Hindi,24,25,24,24,96,hind1269
Hungarian,24,25,23,23,95,hung1274
Icelandic,23,26,24,23,96,icel1247
Igbo,19,20,21,20,81,nucl1417
Indonesian,21,22,21,21,84,indo1316
Italian,24,24,22,22,93,ital1282
Japanese,19,19,17,18,73,nucl1643
Javanese,18,17,16,17,68,java1254
Kannada,23,24,24,23,95,nucl1305
Kashmiri,23,23,24,23,93,kash1277
Kazakh,20,20,15,18,73,kaza1248
Khmer,18,20,21,21,80,cent1989
Kikuyu,17,20,22,21,80,kiku1240
Kinyarwanda,16,18,21,19,73,kiny1244
Konkani,24,25,25,25,99,goan1235
Korean,22,22,21,21,86,kore1280
Kurdish,17,19,21,19,75,cent1972
Lao,15,16,20,19,70,laoo1244
Latvian,22,25,24,22,93,latv1249
Lingala,12,14,17,14,56,ling1263
Lithuanian,23,25,24,23,94,lith1251
Luo,16,18,22,20,77,luok1236
Luxembourgish,23,25,25,23,96,luxe1241
Macedonian,21,23,24,22,90,mace1250
Malagasy,18,19,19,19,75,plat1254
Malay,23,24,22,23,92,stan1306
Malayalam,23,24,24,23,95,mala1464
Mandingo,13,16,20,18,66,mand1436
Marathi,22,23,24,23,92,mara1378
Mongolian,20,21,20,20,82,mong1331
Nepali,20,22,22,22,86,nepa1254
Norwegian,22,25,25,23,95,norw1258
Oriya,23,24,24,23,95,oriy1255
Oromo,16,17,19,16,68,west2721
Polish,23,24,23,22,91,poli1260
Portuguese,22,23,22,21,88,port1283
Punjabi,22,23,23,22,89,panj1256
Pushtu,26,26,20,24,95,pash1269
Romanian,22,24,23,23,92,roma1327
Russian,22,23,22,21,87,russ1263
Serbian,21,23,23,22,90,serb1264
Shona,20,22,23,22,88,shon1251
Sindhi,22,23,24,23,93,sind1272
Sinhalese,21,23,22,22,88,sinh1246
Slovak,23,25,24,23,96,slov1269
Slovenian,25,27,25,24,100,slov1268
Somali,17,19,20,17,73,soma1255
Spanish,21,22,21,20,85,stan1288
Swahili,18,20,22,20,80,swah1253
Swedish,24,26,25,23,98,swed1254
Tagalog,20,22,23,22,87,taga1270
Tajik,15,18,19,18,70,taji1245
Tamil,23,25,24,23,96,tami1289
Tatar,22,23,20,21,86,tata1255
Telugu,26,26,18,21,91,telu1262
Thai,21,22,20,20,82,thai1261
Tibetan,21,21,22,20,83,tibe1272
Tigrinya,19,22,22,20,83,tigr1271
Turkish,21,22,20,21,84,nucl1301
Turkmen,17,19,20,19,76,turk1304
Twi,19,20,22,21,82,twii1234
Uighur,22,23,21,20,86,uigh1240
Ukrainian,20,22,22,20,85,ukra1253
Urdu,23,24,23,23,92,urdu1245
Uzbek,24,24,12,22,82,uzbe1247
Vietnamese,22,20,12,20,75,viet1252
Wolof,14,16,18,16,64,nucl1347
Yoruba,20,21,21,21,82,yoru1245
